"","Key","Value","freq"
"34439","a constant source","of",9
"74481","a constant state","of",5
"38373","a constitutional amendment","to",8
"140319","a constitutional right","to",4
"92340","a consultant for","the",5
"100319","a consultant to","the",4
"66582","a contender for","the",6
"144411","a contest to","win",4
"47908","a continuation of","the",7
"126120","a contract for","the",4
"44829","a contract with","the",7
"109777","a contradiction in","terms",4
"125361","a contrast to","the",4
"99790","a contribution to","the",4
"31828","a controlled dangerous","substance",9
"125562","a controlled substance","and",4
"111694","a controlling stake","in",4
"139111","a convenience store","clerk",4
"61068","a convenient way","to",6
"122786","a conversation about","the",4
"21150","a conversation with","a",12
"124562","a cookie sheet","and",4
"108849","a cool place","to",4
"116859","a cool way","to",4
"385","a copy of","the",112
"81152","a core group","of",5
"26002","a corner of","the",10
"126408","a correlation between","the",4
"82938","a cost of","million",5
"131986","a country club","plaza",4
"30449","a country that","has",9
"58324","a country where","the",6
"64753","a country with","a",6
"26408","a couple days","ago",10
"21844","a couple months","ago",11
"89959","a couple more","weeks",5
"143","a couple of","weeks",177
"51975","a couple times","a",7
"4190","a couple weeks","ago",31
"121691","a couple who","are",4
"5311","a couple years","ago",27
"30448","a course of","action",9
"13547","a court of","law",15
"10980","a court order","to",17
"40221","a crack in","the",8
"68513","a crash course","in",6
"109012","a crazy cat","lady",4
"72505","a creative way","to",5
"129066","a creature of","habit",4
"84619","a credit card","and",5
"140139","a criminal case","against",4
"110355","a criminal defense","attorney",4
"97606","a criminal investigation","into",4
"47008","a critical mass","of",7
"130028","a critical time","for",4
"34528","a cross between","a",9
"113000","a cross section","of",4
"27724","a crowd of","about",10
"143196","a crucial part","of",4
"21631","a crucial role","in",11
"33740","a cry for","help",9
"57312","a cul de","sac",6
"1389","a cup of","coffee",56
"65508","a customer service","representative",6
"130918","a cut of","the",4
"97445","a cute pair","of",4
"137058","a cutting board","and",4
"27560","a daily basis","and",10
"86836","a dance with","life",5
"42182","a danger to","the",8
"139778","a dark suit","and",4
"120998","a dash of","cinnamon",4
"39636","a date with","the",8
"101417","a daughter in","law",4
"6965","a day after","the",23
"20188","a day and","a",12
"30529","a day at","the",9
"50820","a day before","the",7
"114254","a day by","day",4
"68158","a day care","center",6
"26983","a day days","a",10
"88876","a day every","day",5
"81912","a day filled","with",5
"73158","a day for","the",5
"65844","a day from","the",6
"42370","a day full","of",8
"23387","a day goes","by",11
"9004","a day in","the",20
"108484","a day is","not",4
"111863","a day it","will",4
"47893","a day like","this",7
"97572","a day of","the",4
"43436","a day off","from",7
"30783","a day on","the",9
"1411","a day or","two",56
"136782","a day that","i",4
"11802","a day to","day",17
"44629","a day trip","to",7
"22530","a day when","i",11
"96783","a day where","i",4
"104169","a day with","no",4
"47332","a dc ds","m",7
"132206","a deadly weapon","on",4
"139771","a deaf ear","to",4
"110622","a deal in","place",4
"46010","a deal that","would",7
"6708","a deal with","the",23
"128983","a dear friend","of",4
"99343","a death in","the",4
"57214","a death sentence","for",6
"103845","a debate on","the",4
"79657","a decade after","the",5
"63399","a decade ago","to",6
"65739","a decade in","the",6
"97078","a decade or","two",4
"21968","a decent amount","of",11
"45331","a decision based","on",7
"90403","a decision by","the",5
"67935","a decision of","the",6
"25813","a decision on","whether",10
"110613","a deck of","cards",4
"4435","a deep breath","and",30
"114541","a deep sense","of",4
"95420","a defendant in","the",5
"93124","a degree in","political",5
"61287","a degree oven","for",6
"83567","a delay in","the",5
"131500","a democrat and","former",4
"132926","a democrat who","has",4
"121947","a democratically elected","congress",4
"95803","a dent in","my",5
"99709","a department of","education",4
"46980","a departure from","the",7
"9579","a description of","the",19
"125346","a desire to","be",4
"25585","a desperate attempt","to",10
"86281","a detailed description","of",5
"92512","a die hard","fan",5
"58902","a difference between","the",6
"6596","a difference in","the",24
"131037","a difference to","the",4
"131303","a different aspect","of",4
"141054","a different country","and",4
"89814","a different form","of",5
"3000","a different kind","of",37
"70739","a different level","of",5
"55267","a different point","of",6
"19597","a different set","of",12
"36989","a different side","of",8
"22931","a different sort","of",11
"47318","a different take","on",7
"25245","a different type","of",10
"93955","a different way","to",5
"68233","a difficult time","for",6
"115880","a dime a","dozen",4
"119965","a dining room","table",4
"49441","a dip in","the",7
"144807","a direct impact","on",4
"123403","a direct line","to",4
"26441","a direct link","to",10
"100329","a direct reflection","of",4
"129859","a direct relationship","between",4
"20490","a direct result","of",12
"107747","a dirty word","to",4
"42430","a discussion of","the",8
"142629","a disproportionate number","of",4
"37753","a dispute over","a",8
"140946","a disservice to","the",4
"69796","a distinct lack","of",5
"48063","a diverse group","of",7
"108573","a division i","school",4
"80360","a division of","the",5
"98504","a dizzying array","of",4
"132188","a dm with","your",4
"21748","a do it","yourself",11
"92248","a doctor and","a",5
"67341","a doctor or","a",6
"80763","a documentary about","the",5
"104883","a dog in","the",4
"94422","a dollar for","every",5
"129371","a dollop of","whipped",4
"76442","a domestic violence","charge",5
"30944","a donation to","the",9
"39356","a double and","a",8
"58014","a double digit","lead",6
"29932","a double dip","recession",9
"28573","a double edged","sword",10
"123036","a double minor","for",4
"66101","a double to","left",6
"136911","a doubt one","of",4
"109420","a doubt that","he",4
"126795","a down year","for",4
"83609","a dozen of","the",5
"34781","a dozen or","so",9
"45077","a dozen years","ago",7
"100080","a dramatic effect","on",4
"138392","a dramatic increase","in",4
"2993","a dream come","true",37
"52613","a dream last","night",7
"79763","a dream of","mine",5
"21743","a dream that","i",11
"63620","a dress rehearsal","for",6
"63414","a drink at","the",6
"127171","a drink in","the",4
"53335","a drink of","water",7
"127374","a drive by","shooting",4
"99533","a drizzle of","olive",4
"8154","a drop in","the",21
"110396","a drug treatment","program",4
"130934","a drum major","for",4
"51878","a fact of","life",7
"33383","a fact that","i",9
"6075","a factor in","the",25
"80917","a failed attempt","to",5
"73335","a failure as","a",5
"53495","a failure of","the",6
"107752","a failure to","appear",4
"1785","a fair amount","of",49
"135084","a fair and","impartial",4
"11070","a fair bit","of",17
"97090","a fair chance","to",4
"27523","a fair number","of",10
"70615","a fair price","for",5
"64040","a fair share","of",6
"13518","a false sense","of",15
"136182","a false statement","to",4
"76568","a family friend","who",5
"120383","a family get","together",4
"46916","a family history","of",7
"55825","a family member","or",6
"4140","a family of","four",31
"76664","a family with","a",5
"101206","a fan base","that",4
"137855","a fan in","the",4
"1141","a fan of","the",62
"46481","a fantastic job","of",7
"117371","a fantastic place","to",4
"5930","a far cry","from",25
"36414","a fast food","restaurant",8
"125232","a faster rate","than",4
"57433","a father and","son",6
"133834","a father of","three",4
"126310","a father son","relationship",4
"73757","a favorite in","the",5
"53196","a favorite of","mine",7
"71384","a fear its","smarts",5
"118429","a feast for","the",4
"21919","a federal appeals","court",11
"94944","a federal bankruptcy","judge",5
"26650","a federal grand","jury",10
"8924","a federal judge","in",20
"77924","a federal law","that",5
"89942","a federal prison","in",5
"18611","a feel for","the",13
"82982","a feeling i'll","be",5
"136814","a feeling of","being",4
"86846","a feeling that","is",5
"90941","a felon in","possession",5
"78552","a felony charge","of",5
"96200","a few bits","of",4
"6916","a few blocks","away",23
"112291","a few cups","of",4
"603","a few days","ago",87
"78950","a few decades","ago",5
"48077","a few doors","down",7
"8758","a few drops","of",20
"43127","a few examples","of",7
"119065","a few extra","dollars",4
"10864","a few feet","away",17
"104308","a few friends","who",4
"134390","a few good","friends",4
"4662","a few hours","of",29
"58291","a few hundred","years",6
"58215","a few ideas","for",6
"95630","a few members","of",5
"16396","a few miles","from",14
"3610","a few minutes","later",33
"35152","a few moments","of",8
"598","a few months","ago",87
"4711","a few more","days",29
"66885","a few nights","ago",6
"252","a few of","the",138
"65322","a few on","the",6
"46042","a few other","things",7
"102099","a few pages","of",4
"87462","a few pairs","of",5
"19001","a few people","in",12
"62700","a few photos","of",6
"68785","a few pics","of",6
"19903","a few pictures","of",12
"42506","a few pieces","of",8
"79799","a few places","to",5
"95371","a few pounds","and",5
"77720","a few questions","for",5
"86988","a few rounds","of",5
"37502","a few seconds","and",8
"25514","a few short","weeks",10
"34852","a few shots","of",9
"84305","a few steps","away",5
"137098","a few suggestions","to",4
"44763","a few tablespoons","of",7
"42269","a few that","i",8
"5631","a few things","that",26
"53776","a few thousand","dollars",6
"6595","a few times","and",24
"89657","a few to","start",5
"25115","a few too","many",10
"124","a few weeks","ago",188
"78918","a few words","about",5
"85","a few years","ago",225
"103425","a field day","with",4
"132377","a field full","of",4
"108238","a field sobriety","test",4
"42001","a field trip","to",8
"38759","a fifth of","the",8
"60230","a fifth round","pick",6
"102526","a fight at","the",4
"119699","a fight broke","out",4
"88163","a fight with","a",5
"39789","a filing with","the",8
"80814","a film about","a",5
"90196","a film based","on",5
"64512","a final decision","on",6
"14389","a finalist for","the",15
"68336","a finalist in","the",6
"40757","a fine example","of",8
"22513","a fine line","between",11
"113389","a fine mesh","sieve",4
"52276","a fine of","up",7
"140125","a fine piece","of",4
"87872","a fine young","man",5
"142206","a finger on","the",4
"113584","a finger or","worse",4
"67416","a fire at","a",6
"86451","a fire extinguisher","case",5
"39804","a fire in","the",8
"31793","a firm believer","in",9
"46610","a first come","first",7
"106815","a first degree","murder",4
"126028","a first down","on",4
"53734","a first for","me",6
"78001","a first name","basis",5
"99292","a first of","its",4
"112089","a first office","action",4
"110513","a first quarter","loss",4
"11147","a first round","pick",17
"78047","a first step","in",5
"13579","a first team","all",15
"87712","a first time","for",5
"54226","a fish out","of",6
"79837","a fit person","to",5
"140807","a fitting end","to",4
"144302","a five bedroom","bath",4
"39584","a five game","suspension",8
"110691","a five minute","walk",4
"105371","a five star","hotel",4
"21339","a five year","old",12
"116626","a flash in","the",4
"59173","a flat screen","tv",6
"81825","a flight back","to",5
"48563","a flight of","stairs",7
"101647","a flurry of","activity",4
"71021","a fly on","the",5
"67803","a focus on","the",6
"53930","a follow back","from",6
"70495","a follow from","you",5
"80963","a follow up","to",5
"44223","a follower of","my",7
"15708","a food processor","and",14
"47779","a fool of","himself",7
"28001","a foot birdie","putt",10
"50510","a foot in","the",7
"117004","a foothold in","the",4
"144021","a for sale","sign",4
"46287","a force in","the",7
"83686","a force of","nature",5
"26732","a force to","be",10
"49306","a fork in","the",7
"116151","a former adviser","to",4
"109744","a former aide","to",4
"63729","a former chairman","of",6
"93053","a former chief","of",5
"109837","a former editor","of",4
"15277","a former federal","prosecutor",14
"130216","a former high","school",4
"45355","a former mayor","of",7
"23587","a former member","of",11
"136029","a former neighbor","of",4
"80737","a former new","york",5
"101180","a former office","assistant",4
"79784","a former president","of",5
"80027","a former state","legislator",5
"71989","a founder of","the",5
"11661","a founding member","of",17
"134946","a four game","losing",4
"78241","a four letter","word",5
"133941","a four point","lead",4
"133027","a four story","showplace",4
"113252","a four team","playoff",4
"23283","a four year","starter",11
"73124","a fourth of","july",5
"142972","a fourth round","pick",4
"3726","a fraction of","the",33
"112452","a franchise record","with",4
"71035","a free agent","after",5
"16891","a free copy","of",13
"95716","a free for","all",5
"104239","a free trip","to",4
"78107","a freedom of","information",5
"109293","a freelance writer","and",4
"114966","a frequent visitor","to",4
"107940","a fresh coat","of",4
"74627","a fresh look","at",5
"144818","a fresh round","of",4
"77628","a fresh start","for",5
"144558","a fresh wave","of",4
"94503","a freshman and","sophomore",5
"85606","a friday night","and",5
"32736","a friend and","i",9
"84450","a friend at","the",5
"36527","a friend for","the",8
"121274","a friend from","college",4
"99972","a friend gave","me",4
"42080","a friend in","the",8
"36139","a friend is","someone",8
"455","a friend of","mine",102
"75663","a friend or","family",5
"26723","a friend s","house",10
"17945","a friend who","is",13
"26683","a front row","seat",10
"135908","a frying pan","over",4
"139974","a full bag","of",4
"142468","a full bar","and",4
"108474","a full bottle","of",4
"19824","a full day","of",12
"38642","a full range","of",8
"144939","a full recovery","and",4
"133882","a full tank","of",4
"3440","a full time","job",34
"106610","a full week","of",4
"128792","a fun game","to",4
"109836","a fun one","to",4
"80008","a fun place","to",5
"81604","a fun thing","to",5
"122918","a fun time","for",4
"9277","a fun way","to",19
"119293","a fundraiser at","the",4
"21460","a fundraiser for","the",12
"26716","a funny thing","happened",10
"46035","a future in","which",7
"56373","a gallon of","gas",6
"84201","a game against","the",5
"107961","a game at","the",4
"100243","a game between","the",4
"99389","a game ending","double",4
"37811","a game for","the",8
"9572","a game high","points",19
"23006","a game in","which",11
"23457","a game like","that",11
"57453","a game losing","streak",6
"95061","a game of","thrones",5
"123610","a game road","trip",4
"58375","a game that","was",6
"133454","a game this","season",4
"96111","a game time","decision",5
"66878","a game with","a",6
"111474","a gap in","the",4
"64897","a gaping hole","in",6
"88092","a gas station","in",5
"60402","a gated community","in",6
"117972","a gathering place","for",4
"57647","a gem of","a",6
"70883","a general idea","of",5
"142895","a general lack","of",4
"77397","a general rule","of",5
"17260","a generous amount","of",13
"84660","a gentleman s","wardrobe",5
"142406","a ghost in","the",4
"42581","a gift card","to",8
"7951","a gift certificate","to",21
"29479","a gift from","the",9
"127342","a gift that","keeps",4
"48187","a gift to","the",7
"123396","a girl can","dream",4
"60155","a girl in","the",6
"119583","a girl like","you",4
"105523","a girl tells","you",4
"60437","a girl to","do",6
"21266","a girl who","was",12
"95080","a girl with","a",5
"59161","a glance at","the",6
"1245","a glass of","wine",59
"42491","a glimmer of","hope",8
"28097","a glimpse into","the",10
"5436","a glimpse of","the",26
"104945","a go at","making",4
"121769","a go to","person",4
"137693","a goal and","an",4
"86821","a goal in","the",5
"88859","a god who","has",5
"138964","a golden globe","and",4
"7257","a good amount","of",22
"100919","a good bet","that",4
"11328","a good bit","of",17
"116468","a good book","and",4
"22001","a good chance","of",11
"28709","a good choice","for",10
"12530","a good chunk","of",16
"62417","a good cup","of",6
"12028","a good day","to",16
"4679","a good deal","of",29
"36964","a good dose","of",8
"62744","a good enough","job",6
"7005","a good example","of",23
"102623","a good excuse","for",4
"105195","a good eye","for",4
"128063","a good feel","for",4
"51497","a good feeling","about",7
"41387","a good first","step",8
"5309","a good fit","for",27
"9807","a good friend","of",19
"133749","a good group","of",4
"84400","a good guy","and",5
"115763","a good heart","and",4
"871","a good idea","to",71
"73705","a good indication","of",5
"2909","a good job","of",38
"122629","a good laugh","and",4
"115254","a good learning","experience",4
"17933","a good look","at",13
"53146","a good man","and",7
"115031","a good many","of",4
"82824","a good meal","and",5
"95519","a good mix","of",5
"81897","a good move","for",5
"36739","a good night","for",8
"10324","a good night's","sleep",18
"11261","a good number","of",17
"27135","a good old","fashioned",10
"26642","a good one","and",10
"28666","a good opportunity","to",10
"111976","a good option","for",4
"69020","a good or","bad",6
"122379","a good pair","of",4
"16465","a good part","of",14
"110126","a good person","i",4
"49852","a good picture","of",7
"938","a good place","to",68
"15838","a good portion","of",14
"38165","a good position","to",8
"51148","a good problem","to",7
"108120","a good question","to",4
"135524","a good range","of",4
"137449","a good read","and",4
"18764","a good reason","to",13
"18574","a good relationship","with",13
"74611","a good role","model",5
"44002","a good selection","of",7
"21271","a good sense","of",12
"33976","a good sign","for",9
"45796","a good source","of",7
"81654","a good spot","to",5
"59836","a good start","and",6
"89367","a good starting","point",5
"129532","a good steward","of",4
"134346","a good story","and",4
"90596","a good team","and",5
"5917","a good thing","for",25
"982","a good time","to",67
"79334","a good use","of",5
"93174","a good view","of",5
"744","a good way","to",77
"94451","a good word","to",5
"99204","a good workout","in",4
"67840","a good year","for",6
"22061","a graduate of","the",11
"127816","a graduate student","at",4
"33853","a grain of","salt",9
"85769","a grand jury","in",5
"131476","a grand old","time",4
"9072","a grand total","of",20
"6414","a grant from","the",24
"107240","a grasp of","the",4
"16124","a great addition","to",14
"27588","a great alternative","to",10
"40618","a great amount","of",8
"127037","a great believer","in",4
"23638","a great chance","to",11
"56186","a great choice","for",6
"124411","a great coach","and",4
"8413","a great day","to",20
"174","a great deal","of",162
"92753","a great end","to",5
"5581","a great example","of",26
"90657","a great excuse","to",5
"59282","a great experience","for",6
"59458","a great feeling","to",6
"116710","a great first","day",4
"40772","a great fit","for",8
"136026","a great friend","of",4
"88682","a great gift","for",5
"25327","a great group","of",10
"109578","a great guy","and",4
"16936","a great idea","to",13
"142388","a great impact","on",4
"86771","a great introduction","to",5
"2921","a great job","of",38
"89703","a great leader","and",5
"92501","a great many","people",5
"125595","a great match","for",4
"104889","a great meeting","with",4
"90042","a great mix","of",5
