"","Key","Value","freq"
"34206","albert","pujols",49
"261763","alberta","st",6
"126886","alberto","del",13
"197897","albright","kick",8
"18004","album","is",92
"52782","albums","and",32
"201554","albuquerque","n",8
"17599","alcohol","and",94
"78754","alcoholic","beverages",21
"207240","alcoholics","anonymous",8
"178960","alcoholism","and",9
"244913","aldous","huxley",6
"55552","aldridge","said",30
"260887","aldyl","a",6
"42880","ale","is",39
"117970","alec","baldwin",14
"66563","alert","to",25
"176071","alerted","to",9
"109202","ales","and",15
"43051","alex","and",39
"107780","alexander","the",15
"250832","alexandre","dumas",6
"159925","alexandria","va",10
"139475","alfred","hitchcock",12
"159622","ali","and",10
"215133","alicante","bouschet",7
"31335","alice","in",54
"102435","alicia","keys",16
"193194","alien","to",8
"218136","alienated","and",7
"142801","aliens","and",11
"101298","align","with",16
"51462","aligned","with",33
"152083","alignment","with",11
"125150","alike","are",13
"256827","aliotti","said",6
"231361","alison","brie",7
"11417","alive","and",139
"253554","alkaline","water",6
"52","all","the",8517
"130013","allah","s",13
"152616","allan","poe",11
"146201","allegation","that",11
"18512","allegations","of",89
"173771","allege","that",9
"38455","alleged","that",44
"125504","allegedly","used",13
"52679","alleges","that",32
"77673","allegiance","to",22
"56064","alleging","that",30
"47137","allen","and",36
"245157","allentown","pa",6
"37390","allergic","to",45
"128147","allergies","and",13
"178008","allergy","season",9
"77862","alleviate","the",22
"116304","alley","oop",14
"62505","alliance","for",27
"204400","alliances","with",8
"143577","allied","with",11
"109386","allies","in",15
"214997","allison","said",7
"139847","allman","brothers",12
"139818","allocated","to",12
"167568","allocation","of",10
"273643","allot","of",6
"249159","allotted","to",6
"5471","allow","the",264
"167204","allowance","for",10
"274782","allowances","for",6
"1897","allowed","to",641
"13649","allowing","the",118
"15136","allows","the",107
"207026","allstate","arena",8
"77691","alluded","to",22
"235468","alludes","to",7
"132178","alluding","to",12
"114153","allure","of",14
"141613","allusion","to",12
"153601","ally","of",11
"31917","alma","mater",53
"84465","almighty","god",20
"67155","almond","milk",25
"55944","almonds","and",30
"6767","almost","a",221
"179907","aloe","vera",9
"186614","aloha","friday",9
"9139","alone","in",170
"439","along","with",1990
"18491","alongside","the",89
"275783","alonso","said",6
"219365","alonzo","gee",7
"12282","alot","of",130
"140785","aloud","to",12
"162803","alpha","and",10
"191098","alphabet","soup",8
"148421","alphabetical","order",11
"223013","alpine","valley",7
"4393","already","have",320
"86426","alright","i",19
"234524","alshon","jeffery",7
"1243","also","a",912
"248947","altamonte","springs",6
"127799","altar","of",13
"32961","alter","the",51
"161993","altercation","with",10
"85380","altered","the",20
"145314","altering","the",11
"116808","alternate","routes",14
"188364","alternated","between",9
"191980","alternating","between",8
"11991","alternative","to",133
"163856","alternatively","you",10
"36143","alternatives","to",47
"230754","alters","the",7
"2495","although","the",504
"214105","altitude","and",7
"90926","altman","said",18
"240579","alto","calif",7
"152189","altogether","and",11
"257779","alton","brown",6
"80129","aluminum","foil",21
"114477","alumni","association",14
"260168","alvarez","said",6
"2092","always","been",590
"28938","alzheimer","s",58
"65915","alzheimer's","disease",26
"1012","am","not",1087
"172311","amalgam","of",9
"173286","amalgamation","of",9
"226445","amanda","palmer",7
"179034","amar","e",9
"178588","amar'e","stoudemire",9
"92647","amare","stoudemire",18
"188821","amarillo","texas",8
"213847","amassed","a",7
"209614","amateur","and",8
"68210","amaze","me",25
"17044","amazed","at",96
"51536","amazes","me",33
"11882","amazing","and",134
"170745","amazingly","the",9
"17072","amazon","eu",96
"46360","ambassador","to",36
"175431","ambassadors","for",9
"96455","amber","ale",17
"226642","ambience","of",7
"91364","ambition","and",18
"115312","ambitions","and",14
"112477","ambitious","and",15
"278376","ambivalence","about",6
"138083","ambivalent","about",12
"92474","ambulance","to",18
"257630","amelia","and",6
"77047","amen","to",22
"206173","amenable","to",8
"65039","amend","the",26
"189668","amended","the",8
"257988","amending","the",6
"27909","amendment","to",60
"79469","amendments","to",21
"213928","amendola","said",7
"221497","amends","for",7
"126293","amenities","and",13
"8903","america","and",174
"65067","america's","most",26
"12013","american","idol",133
"274341","americanairlines","arena",6
"13828","americans","are",116
"277460","ames","iowa",6
"18091","amid","the",91
"58786","amidst","the",29
"228325","amini","silatolu",7
"127379","amino","acids",13
"224603","amit","bansal",7
"136337","ammunition","and",12
"78756","amnesty","international",21
"178207","amniotic","fluid",9
"801","among","the",1306
"14881","amongst","the",109
"705","amount","of",1432
"46230","amounted","to",37
"138897","amounting","to",12
"6324","amounts","of",233
"76664","amped","up",22
"151070","ample","opportunity",11
"133915","amplify","the",12
"263223","amr","corp",6
"163018","amsterdam","and",10
"125922","amused","by",13
"34356","amusement","park",49
"243945","amuses","me",6
"143800","amusing","that",11
"167633","amway","center",10
"47671","amy","winehouse",35
"246952","amyotrophic","lateral",6
"885","an","hour",1196
"198961","ana","and",8
"161986","anaheim","calif",10
"102204","analogous","to",16
"172795","analogy","to",9
"8829","analysis","of",175
"31708","analyst","for",53
"37809","analysts","say",45
"100148","analysts'","expectations",17
"73863","analyze","the",23
"218520","analyzed","the",7
"74087","analyzing","the",23
"131292","anatomy","of",12
"160162","anc","regime",10
"174756","ancestors","were",9
"151761","anchor","and",11
"274078","anchorage","alaska",6
"91679","anchored","by",18
"219973","anchoring","the",7
"82888","ancient","and",20
"8","and","the",24580
"215216","anders","breivik",7
"39224","anderson","said",43
"189577","andover","i",8
"46031","andre","miller",37
"74333","andrea","sneiderman",23
"269283","andreas","fault",6
"176110","andrei","kostitsyn",9
"34303","andrew","luck",49
"222973","andrews","is",7
"99101","android","and",17
"178365","andruw","jones",9
"80799","andy","pettitte",21
"182933","anecdotal","evidence",9
"216622","anecdote","about",7
"238734","anecdotes","and",7
"270105","anesthesia","and",6
"81185","angel","and",21
"79444","angela","merkel",21
"19689","angeles","times",84
"77173","angelina","jolie",22
"47843","angels","and",35
"23465","anger","and",71
"87688","angered","by",19
"202191","angers","me",8
"251696","angie's","list",6
"80090","angle","of",21
"104924","angles","and",16
"212936","angling","for",7
"140039","anglo","saxon",12
"28528","angry","and",59
"131678","angst","and",12
"119279","anguish","and",14
"33161","anheuser","busch",51
"61097","animal","control",28
"17668","animals","and",93
"88604","animated","film",19
"159733","animation","and",10
"258156","anime","and",6
"244679","animosity","toward",6
"217507","anita","alvarez",7
"57396","ankle","and",29
"154383","ankles","and",11
"30441","ann","arbor",55
"74390","anna","and",23
"255650","annals","of",6
"170389","annan","s",9
"42317","anne","arundel",40
"136000","annie","and",12
"6294","anniversary","of",235
"13047","announce","the",123
"8926","announced","that",173
"29794","announcement","of",56
"215592","announcements","are",7
"93620","announces","that",18
"26134","announcing","the",64
"101558","annoy","me",16
"70707","annoyed","by",24
"63757","annoying","and",26
"86708","annoys","me",19
"35249","annual","meeting",48
"76794","annually","in",22
"251570","anomaly","in",6
"38598","anonymity","because",44
"167732","anonymous","and",10
"234303","anonymously","and",7
"212211","anorexia","and",7
"5225","another","one",275
"5881","answer","to",249
"29522","answered","the",57
"44719","answering","questions",38
"15067","answers","to",108
"7399","ant","me",204
"271765","antawn","jamison",6
"74543","anterior","cruciate",23
"175968","anthem","and",9
"208416","anthology","of",8
"64099","anthony","davis",26
"44541","anti","abortion",38
"76494","antibiotics","and",22
"128170","anticipate","the",13
"175959","anticipated","and",9
"233706","anticipates","the",7
"86487","anticipating","the",19
"29167","anticipation","of",58
"108091","antics","of",15
"74629","antidote","to",23
"218115","antioxidants","and",7
"108510","antique","linen",15
"167716","antiques","and",10
"135933","antithesis","of",12
"196575","antithetical","to",8
"270142","antitrust","laws",6
"269397","antoinette","bacon",6
"213873","anton","yelchin",7
"146905","antonin","scalia",11
"103136","antonio","spurs",16
"277977","antonis","samaras",6
"271636","ants","and",6
"222540","antti","niemi",7
"196546","anwar","ibrahim",8
"32988","anxiety","and",51
"25840","anxious","to",65
"116214","anxiously","awaiting",14
"712","any","of",1421
"22189","anybody","else",75
"219152","anyhow","i",7
"30495","anymore","and",55
"2212","anyone","who",560
"165828","anyone's","guess",10
"3729","anything","to",367
"15991","anytime","soon",102
"9696","anyway","i",161
"54904","anyways","i",31
"19274","anywhere","else",86
"152529","anzac","day",11
"139587","ao","dai",12
"46549","ap","the",36
"264131","apache","junction",6
"4981","apart","from",287
"170310","apartheid","and",9
"18354","apartment","in",90
"64827","apartments","and",26
"222605","apathy","and",7
"275226","apex","of",6
"223342","apiece","and",7
"260462","apocalyptic","world",6
"31642","apologies","for",53
"115512","apologise","for",14
"18325","apologize","for",90
"48360","apologized","for",35
"223583","apologizes","to",7
"77062","apologizing","for",22
"85828","apology","for",19
"66933","apostle","paul",25
"230170","apostles","and",7
"20302","app","for",82
"133457","appalled","by",12
"276958","appalling","that",6
"196153","apparatus","of",8
"252631","apparel","and",6
"40115","apparent","that",42
"15479","apparently","the",105
"6748","appeal","to",221
"25261","appealed","to",66
"24037","appealing","to",69
"25927","appeals","to",65
"4546","appear","to",310
"15348","appearance","of",106
"67131","appearances","and",25
"4062","appeared","to",341
"24978","appearing","in",67
"2594","appears","to",487
"186395","appease","the",9
"231767","appelbaum","said",7
"69556","appellate","court",24
"36404","appetite","for",46
"229218","appetizer","and",7
"71247","appetizers","and",24
"103042","applaud","the",16
"87280","applauded","the",19
"207670","applause","and",8
"29780","apple","and",56
"180992","apple's","ipad",9
"233467","applebee","s",7
"32429","apples","and",52
"165023","appliances","combined",10
"139231","applicable","to",12
"216665","applicant","must",7
"153741","applicants","and",11
"23110","application","for",72
"32635","applications","for",51
"12871","applied","to",125
"15065","applies","to",108
"7519","apply","to",201
"25870","applying","for",65
"113803","appoint","a",15
"29634","appointed","to",57
"218293","appointees","to",7
"51513","appointment","with",33
"82310","appointments","for",20
"217061","appraised","value",7
"5339","appreciate","the",269
"37206","appreciated","the",45
"81683","appreciates","the",21
"106878","appreciating","the",15
"18215","appreciation","for",90
"55743","appreciative","of",30
"164784","apprehension","of",10
"164437","apprehensive","about",10
"227034","apprised","of",7
"4169","approach","to",335
"26991","approached","the",62
"53135","approaches","to",32
"51425","approaching","the",33
"22156","appropriate","for",75
"260018","appropriately","and",6
"77452","appropriations","committee",22
"17290","approval","of",95
"173317","approvals","for",9
"22130","approve","the",75
"10430","approved","by",151
"152968","approves","the",11
"61628","approving","the",27
"275708","approximate","values",6
"61368","approximately","million",27
"55037","apps","for",31
"6759","april","and",221
"272068","apron","and",6
"261810","aprons","and",6
"45215","apt","to",37
"103400","aptly","named",16
"142939","aquarium","and",11
"125518","aquatic","center",13
"41968","arab","spring",40
"106053","arabia","and",16
"113718","arabian","peninsula",15
"142027","arabic","and",11
"213358","arabs","and",7
"268648","aramis","ramirez",6
"212371","arbitrary","and",7
"131595","arbor","day",12
"260259","arby","s",6
"53660","arc","of",31
"125110","arcade","fire",13
"245999","arch","coal",6
"266472","archaeological","sites",6
"171052","archangel","michael",9
"78452","archbishop","of",21
"120624","archdiocese","of",14
"280197","archery","in",6
"62240","architect","of",27
"112055","architects","and",15
"162152","architectural","digest",10
"39479","architecture","and",43
"118257","archival","ink",14
"262973","archive","of",6
"91090","archives","of",18
"251871","arctic","ice",6
"69934","arden","hills",24
"240481","arduous","process",7
"221","are","the",3260
"4188","area","of",334
"104178","area's","best",16
"6031","areas","of",244
"1916","aren","t",634
"28436","aren't","you",59
"46538","arena","and",36
"64994","aretha","franklin",26
"149982","argentina","and",11
"25170","arguably","the",66
"6156","argue","that",239
"5557","argued","that",260
"17405","argues","that",94
"14808","arguing","that",109
"24061","argument","that",69
"67046","arguments","that",25
"138461","arian","foster",12
"254251","ariana","grande",6
"277223","arianna","huffington",6
"267037","ariela","neuman",6
"250476","aries","march",6
"90341","arise","from",18
"138173","arises","from",12
"118332","arising","from",14
"17481","arizona","state",94
"111663","arizona's","new",15
"109109","arkansas","and",15
"121914","arlington","va",13
"16110","arm","and",101
"265499","arm's","length",6
"16530","armed","with",99
"206241","armies","of",8
"162487","armon","johnson",10
"174791","armond","budish",9
"107430","armor","and",15
"260786","armour","and",6
"11259","arms","and",141
"102772","armstrong","said",16
"25566","army","of",65
"136946","arne","duncan",12
"77643","arnold","schwarzenegger",22
"50229","aroma","of",34
"75696","aromas","of",22
"175799","arose","from",9
"236","around","the",3113
"193348","arraigned","on",8
"172698","arraignment","in",9
"82521","arrange","the",20
"39901","arranged","for",42
"70406","arrangement","of",24
"101628","arrangements","to",16
"244269","arranges","for",6
"152613","arranging","the",11
"8009","array","of",190
"31925","arrest","and",53
"12182","arrested","in",131
"49912","arrests","and",34
"17770","arrival","of",93
"15187","arrive","at",107
"5065","arrived","at",283
"50387","arrives","at",34
"22240","arriving","at",75
"184115","arrogance","and",9
"153349","arrogant","and",11
"179793","arron","afflalo",9
"97681","arrow","then",17
"90902","arsenal","of",18
"276105","arsenic","and",6
"5648","art","and",258
"177688","arteries","and",9
"201875","artest","is",8
"103752","arthritis","and",16
"181631","arthroscopic","surgery",9
"175402","arthur","conan",9
"152151","artichoke","hearts",11
"230805","artichokes","and",7
"16274","article","in",100
"25896","articles","and",65
"177040","articulate","the",9
"270319","articulated","in",6
"138267","artifacts","and",12
"147444","artificial","intelligence",11
"263929","artificially","low",6
"273744","artisan","breads",6
"159589","artisans","and",10
"18386","artist","and",90
"26691","artistic","director",63
"14919","artists","and",108
"8928","arts","and",173
"62916","artwork","and",27
"165413","arugula","and",10
"56412","arundel","county",30
"254221","arvada","west",6
"23","as","a",13359
"179753","asafa","powell",9
"255634","asap","rocky",6
"55257","asbury","park",31
"206444","ascend","to",8
"216641","ascended","to",7
"227645","ascending","to",7
"264041","ascribed","to",6
"101588","asdrubal","cabrera",16
"112555","ash","and",15
"24087","ashamed","of",69
"70186","ashes","of",24
"145463","ashley","and",11
"97725","ashton","kutcher",17
"34613","asia","and",49
"84015","asian","and",20
"6013","aside","from",244
"2732","ask","for",466
"2501","asked","to",503
"5260","asking","for",273
"39425","asks","for",43
"33932","asleep","in",50
"67859","asparagus","and",25
"5163","aspect","of",277
"4760","aspects","of",298
"95167","asperger","s",18
"232564","asphalt","and",7
"92664","aspirations","of",18
"41118","aspire","to",41
"117057","aspired","to",14
"119203","aspires","to",14
"139738","aspiring","to",12
"153798","assad","and",11
"227442","assassinated","in",7
"109758","assassination","of",15
"21834","assault","and",76
"70306","assaulted","by",24
"71966","assaulting","a",23
"186983","assaults","on",9
"73370","assemble","the",23
"83114","assembled","a",20
"151575","assembling","the",11
"46051","assembly","speaker",37
"149491","assemblyman","john",11
"113686","assert","that",15
"75271","asserted","that",22
"138339","asserting","that",12
"43536","assertion","that",39
"271242","assertions","that",6
"77221","asserts","that",22
"38793","assess","the",44
"68859","assessed","at",24
"93111","assessing","the",18
"19330","assessment","of",86
"77667","assessments","and",22
"234537","assessor's","office",7
"52816","asset","to",32
"46042","assets","and",37
"139627","assign","a",12
"10934","assigned","to",145
"95195","assignment","for",17
"166871","assignments","and",10
"258048","assimilate","the",6
"42622","assist","in",40
"36434","assistance","to",46
"21254","assistant","coach",78
"155075","assistants","and",10
"50685","assisted","living",33
"142302","assisting","the",11
"22063","assists","and",76
"39554","associate","professor",43
"180935","associate's","degree",9
"3070","associated","with",427
"34699","associates","programmes",48
"6262","association","of",236
"124290","associations","and",13
"23333","assortment","of",72
"9077","assume","that",171
"25086","assumed","that",67
"91337","assumes","that",18
"34708","assuming","that",48
"34209","assumption","that",49
"105105","assumptions","about",16
"75742","assurance","that",22
"101419","assurances","that",16
"24059","assure","you",69
"36229","assured","that",46
"182432","assures","me",9
"140858","asthma","and",12
"198802","aston","villa",8
"183065","astonishing","and",9
"276314","astoria","anchor",6
"259409","astounds","me",6
"174334","astrology","free",9
"136148","asylum","seekers",12
"7","at","the",25282
"26738","ate","a",63
"167274","atheist","and",10
"224423","atheists","and",7
"76257","athlete","and",22
"45875","athletes","and",37
"14817","athletic","director",109
"90585","athleticism","and",18
"102925","athletics","director",16
"212800","atkinson","and",7
"47492","atlanta","and",36
"8853","atlantic","city",174
"281779","atlantis","and",6
"272314","atlas","shrugged",6
"28152","atmosphere","of",60
"136184","atmospheric","administration",12
"144700","atomic","energy",11
"168513","atone","for",10
"184606","atoned","for",9
"21934","atop","the",76
